case_id,description,Intersection_num,case_no.,unit_1_direction,unit_1_movement,unit_2_direction,unit_2_movement,unit_at_fault,crash_type
21-127189,"12300 Edgemere Blvd is a 2 way road consisting of 2 eastbound lanes and

 

ea
3
o
‘G
E

CONDITIONS

 

2 westbound lanes with mandatory turning lanes. 12700 Tierra Este Rd is
a 2 way road consisting of 2 northbound lanes and 2 southbound lanes

ith mandatory turning lanes, which intersects with Edgemere. Unit 1 was
traveling eastbound on Edgemere making a left turn onto Tierra Este.

nit 2 was traveling westbound on Edgemere crossing the intersection of
Tierra Este.The driver of Unit 1 stated that she made a left turn onto
Tierra Este but did not observe Unit 2 or any other incoming traffic.
The driver of Unit 1 stated that she then collided into Unit 2. The
officer asked the driver of Unit 1 if she had a green arrow or just a
green light at which point the driver of Unit 1 stated that she only had
a green light.The driver of Unit 1, along with the passenger, stated

'5
'=|.'.

E dgemere and Tierra Este at which point Unit 1 collided into their

that they had a green light and were crossing the intersection of

nit 2 reported pain to his neck. They were all assessed by EMS Unit Q37
ho was on scene and all refused medical transport. There was 1 reported
independent witness (Jaime Contreras 915-401-4555) but the officer was
unable to make contact due to the witness being gone upon arrival and

NA ERA TH/E

as not able to make phone contact.It is the Officer's investigative
opinion that the driver of Unit 1 failed to yield the right of way
turning left, further causing an accident. The driver of Unit 1 was
cited accordingly",2,122,EB,LT,WB,TH,unit 1,left turn
21-154139,"12300 Edgernere is a 4 lane roadway for east and west bound

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

travel divided.by a protected.median. 12700 Tierra Este is a 4
lane roadway for north and south bound travel divided.by a
double yellow line. Unit 1 was traveling east bound on Edgemere
in the mandatory left turn lane with the intent to turn north
hound on Tierra Este. Unit 2 was traveling west bound on
Edgemere in the number 1 lane. Unit 2 advised she had the green
signal light to proceed through the interaction. Unit 1 advised
that she had the solid green light to turn left if opposing
traffic permits. The driver of Unit 1 advised she did not see
any vehicles traveling west bound on Edgemere, so she proceeded
through the intersection causing Unit 2 to collide into Unit 1.

* ter further investigation, the officer determined the driver

f Unit 1 to be at fault. No injuries were reported",2,123,EB,LT,WB,TH,unit 1,left turn
21-195203,"The 12300 block of Edgemere Blvd is a two—way local roadway for
est and East bound traffic. The 12600 block of Tierra Este Rd

is two—way local roadway for North and South bound traffic. Unit

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

1 was West on Edgemere Blvd and'was attempting to turn left on
Tierra Este, at the posted green yield traffic signal light.
nit 2 was East on Edgemere Blvd. Unit 1 collided into Unit 2
front left bumper. There were no injuries or witnesses to
report. No on scene investigation was conducted. Diagram.is
approximate. Diagrantper driver of Unit 1.",2,124,WB,LT,EB,TH,unit 1,left turn
21-229228,"12300 EDGEMERE IS A.FIVE LANE, TWO WAY DIVIDED BY.A RAISED
IIDIAN ROADWAY. IT IS DESIGNED FOR WESTBOUND AND EASTBOUND
TRAFFIC. UNIT# 2 ADVISED SHE WAS TRAVELING EASTBOUND ON EDGEMERE
IN THE 2ND LANE. UNIT# 2 ADVISED THAT SHE STOPPED DUE TO.A RED
LIGHT. UNIT# 1 WAS TRAVELING EASTBOUND ON EDGEMERE IN THE 2ND
LANE BEHIND UNIT# 2. UNIT# 1 COLLIDED WITH UNIT# 2. NO INJURIES
* I NO WITNESS REPORTED AT THE SCENE. UNIT# 1 FLED THE SCENE.",2,125,EB,TH,EB,TH,unit 1,rear end
2016-04336,"The 12700 block of Tierra Este El Paso County TX. is a four
laned unprotected.bi directional roadway with two lanes
traveling northbound and two lanes traveling southbound. The
12300 block of Edgemere is a four laned.protected.bi directional
roadway with two lanes traveling eastbound and two lanes
traveling westbound. Unit #1 was traveling northbound on Tierra
Este. Unit #2 was traveling southbound on Tierra Este. Unit #1
attempted to turn left (westbound) onto Edgemere and failed to
ield the right of way to Unit #2 causing Unit #2 to strike Unit
#1*s right front end with Unit #2*s right front end causing
damage. The driver of Unit #1 fled the scene after the incident.",2,126,NB,LT,SB,TH,unit 1,left turn
21168252,"12700 Tierra Este (southbound) is a two lane roadway running

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

south with a mandatory left turn lane. 12400 Edgemere
(westbound) is a two lane roadway running west.Unit #2 was
southbound on Tierra Este in the right lane and had just entered
the intersection with Edgemere. Unit #1 was northbound on Tierra
Este and turned left into the westbound lanes of Edgemere.Upon
turning left, Unit #1 did not yield to Unit #2 and.both collided
in the intersection. Unit#1 left the scene and is unknown what
Iind of damage the vehicle sustained.Unit #2 sustained.minor
damage and'was still drivable. There were no injuries reported.
There was one possible witness that followed Unit #1 and.was
able to obtain the license plate number. Witness information",2,127,NB,LT,SB,TH,unit 1,left turn
21181239,"12700 Tierra Este is a two way road way that is divided by

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

double yellow lines and has a left only turn lane, a lane to
proceed straight and an optional straight or right turn lane
going north and south bound. 12300 Edgemere is a two way roadway
that is divided.by a raised.median and has a left only turn
lane, a lane to proceed straight and an optional straight or
right turn lane going east and'west bound. The driver of unit 1
stated she was making a left turn to go east bound on the 12300
hlock of Edgemere when she collided into the back left bumper of
nit 2. The driver of unit 2 stated he was traveling north bound
on 12700 Tierra Este in the first lane when he was struck in the
hack left bumper by unit 1. There were no injuries reported and
no independent witness. The drive of unit 1 was cited for fail
to yield right of way left turn causing the accident.",2,128,SB,LT,NB,TH,unit 1,left turn
2021110053,"nit one was traveling east bound at the 12400 block of Edgemere
I- ing a left turn onto the 12700 block of Tierra Este Rd. Unit
two was traveling westbound at the 12400 block of Edgemere. Both

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

nits had a green light. Unit 1 failed to yield the right of way
to Unit 2 and caused the collision between both units.",2,129,EB,LT,WB,TH,unit 1,left turn
21-235098,"The 12600 block of
Tierra Este is a 4 lane roadway, with 2 lanes traveling north
and 2 lanes traveling south. At the intersection of Edgemere and
Tierra Este, Edgemere is equipped.with a mandatory left turn
lane, and a lane where you have the option to turn right or
continue straight. At the intersection of Tierra Este and
Edgemere, Tierra Este is equipped.with a mandatory left turn
lane, and a lane where you have the option to turn right or
continue straight. Unit 1 was traveling eastbound on Edgemere
in the number 2 lane behind unit 2. Unit 2 was also traveling
eastbound on Edgemere in the number 2 lane, in front of unit 1.
nit 2 came to a stop, as the traffic signal light turned red.
nit 1 failed to control his speed and did not stop in time,
colliding with the rear of unit 2. No injuries were reported,
and no witnesses were located.",2,130,EB,LT,WB,TH,unit 1,left turn
21-267129,"The 12400 block of Edgemere Blvd near the 12700 block of Tierra
Este Road is a two way roadway. Unit 2 was the second vehicle

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

in line at the stop light on Edgemere Blvd'when Unit 1 rear
ended Unit 2. No injuries were reported. No on scene
investigation was conducted. Diagram.is approximate.",2,131,WB,TH,WB,TH,unit 1,rear end
21-277195,"The 12600 block of Tierra Este intersects with Edgemere at the
12300 block. Unit 2 was eastbound on Edgemere and was stopped at
the light when Unit 1 oollided'with the rear bumper and trunk of
nit 2. No witnesses or injuries were reported. No on scene
investigation was conducted. Diagram.is approximate and.as per
nit 2. Unit 2 was given the case number.",2,132,EB,TH,EB,TH,unit 1,rear end
21-293204,"The 12300 block of Edgomere Blvd (eastbound), going fromiwest to East is
a three lane roadway that has one mandatory left turn lane and two

 

ea
3
o
‘G
E

CONDITIONS

 

eastbound lanes. The 12400 block of Edgemere Blvd (westbound), going
rdm East to West is a three lane roadway that has one mandatory left
turn lane and two westbound lanes. Edgemere intersects with the 12700
hlock of Tierra Este and is controlled by signal lights. Driver of Unit
#2 stated that she was traveling westbound at the 12300 block of
Idgemere Blvd on the number two lane on a solid green light. Driver of
nit #2 stated that she proceeded through the intersection on the solid
green light, however, collided into Unit #1, who she stated entered the
intersection from the 12400 block of Edgemere, traveling from the
:-ndatory left turn lane, causing Unit #2 to collide into Unit #1.
ﬂriver of Unit #1 stated that she was traveling eastbound at the 12400

Officer Marques made contact with an independent witness, Michael
Carrillo (915)240-1285, who stated that he was traveling westbound at
the 12400 block of Edgemere on the number one lane, directly behind Unit
#1. Michael stated that he observed Unit #1 proceed through the
intersection on a yellow solid light, in which he observed the
collision. Driver of Unit #1 was cited accordingly. Passenger #3 of Unit
#2 was transported to a nearby hospital and treated for minor injuries.

ﬂriver of Unit #2 complained of neck pain, however, was not transported
to the hospital.",2,133,WB,LT,EB,TH,unit 1,left turn
21-301162,"THE 12400 BLOCK OF EDGEMERE IS.A FOUR LANE ROADWAY THAT TRAVELS
EAST WEST BOUND WITH A.MANDATORY LEFT TURN LANE AND HAS.A RAISED
||DIAN. THE 12700 BLOCK OF TIERRA ESTE IS.A FOUR LANE ROADWAY
THAT TRAVELS NORTH SOUTH BOUND WITH A.MANDATORY LEFT TURN LANE
HIVIDED BY TWO SOLID YELLOW LINES. UNIT 2 WAS TRAVELING WEST ON
EDGEMERE IN THE RIGHT LANE. UNIT 2 DRIVER WHILE GOING THROUGH
THE INTERSECTION HAD TO BRAKE FOR HEAVY TRAFFIC. UNIT TWO WAS.AT
* STOP WHEN UNIT 1 CAM FROM BEHIND AND COLLIDED INTO UNIT TWO.
IT 1 WAS WEST ON EDGEMERE IN THE RIGHT LANE. UNIT 1 DRIVER
TATED THAT HE LOOKED TO THE LEFT AND WHEN HE TURNED TO LOOK
TRAIGHT AHEAD TRAFFIC HAD STOPED. UNIT 1 DRIVER TURNED HIS
IOTORCYCLE TO THE RIGHT FALLING TO THE GROUND. UNIT 1 COLLIDED
INTO UNIT 2. UNIT 1 DRIVER COMPLAINED OF PAIN TO THE LEFT SIDE
OF HIS BODY BUT REFUSED EMS TRANSPORT. NO WITNESSES.",2,134,WB,TH,WB,TH,unit 1,rear end
21-301215,"The 12700 block of Tierra Este is a 4 lane roadway for north and

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

south traffic divided.by an unprotected.median and has marked
lanes. Unit 1 was travelling on the number 1 lane south bound on
Tierra Este. Unit 2 was stopped at a red light also on the
number 1 lane south bound on Tierra Este. Unit 1 failed to
control his speed and collided with the rear of unit 2..As a
result of unit 1 colliding with the rear of unit 2, it caused a
chain reaction impact, causing unit 2 to collide with the rear
of unit 3, and unit 3 to collide with the rear of unit 4. No
independent witnesses were reported on this accident.Driver of
nit 2 was transported to Sierra Providence East for possible
:'nor injuries. Driver of unit 1 complained of injury to his
left arnn but denied.medical attention.",2,135,SB,TH,SB,TH,unit 1,rear end
16-031155,3400 Yarbrough is a two way six lane roadway with two northbound lanes and one mandatory left turn lane; two southbound lanesith one mandatory left turn lane. 10600 Edgemere is a two waysix lane roadway with two westbound Lanes and one mandatory leftturn lane; two eastbound lanes and one mandatory left turn lane.nit #2 was traveling southbound on Yarbrough in the insidelane. Unit #1 was traveling northbound on Yarbrough andattempting to make a left turn onto Edgemere. Unit #1 failed toield the right of way subsequently causing the front left ofnit #1 to collide with the front of Unit #2. There were twoindependent witnesses (Brian Ganske 915-630-0702//BernadetteMendoza 915-219-3486). Driver and passenger of unit #2 were alltransported to the Hospitals of Providence East Campus foredical evaluation. Passenger of Unit #1 sustained a bump to herforehead.,3,136,NB,LT,SB,TH,unit 1,left turn
16-065109,"3300 N. Yarbrough is a marked, 2-way, 5 lane roadway running north/south bound with two lanes southbound and two lanesnorthbound with a mandatory left turn lane on each direction.10700 Edgemere is a marked, 2-way, 5 lane roadway runningeast/west bound with two lanes eastbound and two lanes westboundith a mandatory left turn lane on each direction. Unit 1 wastraveling eastbound on Edgemere. Unit 2 was northbound onarbrough. Officers were also north bound on Yarbrough and hadthe circular green light waiting on the mandatory left turnlane. Unit 2 was north on Yarbrough on far right lane next tothe Officers and had the circular green. Unit 1 was eastboundon Edgemere attempting to cross Yarbrough. Unit 1 failed toQ|istop on a red light and ran through the intersection. Officerslight. There were no injuries reported. Officer A.J. Perez wi",3,137,EB,TH,NB,TH,unit 1,right angle
16-088167,"THE 10700 BLOCK OF EDGEMERE IS A FOUR LANE ROADWAY THAT TRAVELS BAST AND WEST BOUND WITH A MANDTORY LEFT TURN LANE. THE 3300BLOCK OF YARBROUGH IS A FOUR LANE ROADWAY THAT TRAVELS NORTH ANDSOUTH BOUND WITH A MANDTORY LEFT TURN LANE AND HAS A RAISEDFDIAN. UNIT ONE DRIVER STATED THAT SHE WAS TRAVELING WEST ONEDGEMERE ON THE MANDATORY LEFT TURN LANE. UNIT ONE DRIVER STATEDTHAT SHE HAD THE GREEN ARROW TO MAKE A LEFT TURN AT WHICH TIMESHE COLLIDED INTO UNIT TWO WHEN MAKBING THE LEFT TURN. UNIT TWOAS TRAVELING EAST ON EDGEMERE. UNIT ONE DRIVER COMPLAINED OFPAIN TO HER ARMS DUE TO THE AIRBAGS DEPLOYING. UNIT ONE DRIVERREFUSED EMS TRANSPORT. UNIT TWO DRIVER STATED THAT SHE WASTRAVELING EAST ON EDGEMERE IN THE RIGHT LANE. UNIT TWO DRIVERSTATED THAT SHE HAD THE GREEN LIGHT TO ENTER THE INTERSECTION.IT TWO DRIVER STATED THAT WHEN SHE ENTERED THE INTERSECTIONIT ONE MADE A LEFT TURN IN FRONT OF UNIT TWO AT WHICH TIMEIT ONE COLLIDED INTO UNIT TWO. UNIT TWO DRIVER WAS TRANSPORTEDTO SIBRRA BAST HOSPITAL DUE TO PAIN TO HER ARMS. OFFICER MADECONTACT WITH WITH WI-O1 (SEVERIANO, SANTINI 915-629-6944) WHOSTATED THAT HE WAS STOPPED AT A RED LIGHT FACING NORTH ONARBOURGH TRYING TO MAKE A RIGHT TURN. WI-01 STATED THAT UNITTWO WHO WAS TRAVELING EAST ON EDGEMERE HAD THE GREEN LIGHT ToENTER THE INTERSECTION AND UNIT ONE HAD A SOLID GREEN LIGHT TOMAKE THE LEFT TURN FROM THE MANDATORY LEFT TURN LANE.",3,138,WB,LT,EB,TH,unit 1,left turn
16-094140,10600 Edgemere is a four lane two way roadway that travels East and West bound and intersects 3800 Yarbrough which travels Northand South bound.Unit-2 stated she was traveling West bound onFdgemere when she stopped in the intersection for a vehicleturning North bound onto Yarbrough at a red turn signal. Unit-2then stated thats when she was struck from behind. Unit-1 statedthat Unit-2 had stopped suddenly for the vehicles and he wasnable to avoid hitting Unit-2 and struck her from behind.Driverof Unit-1 was cited for No Drivers License.Driver of Unit-2complained of soreness to her jaw and throat. Passenger of Unit-2 complained of head pain.No other injuries or witnesses werereported at the scene.,3,139,WB,TH,WB,TH,unit 1,rear end
16-103067,10700 Edgemere runs east and west and is a two way four lane roadway divided by double yellow lines with a mandatory leftturn lane which intersects with 3400 Yarbrough. Unit #2 wastraveling west on Edgemere in the left lane and was at a stopdue to a red traffic control signal light at the intersection ofarbrough. Unit #1 was also traveling west on Edgemere in theleft lane and failed to control speed at which point it strucknit #2 from behind. No injuries or witnesses were reported atthe scene.,3,140,WB,TH,WB,TH,unit 1,rear end
16-132138,Driver of Unit 2 stated he was traveling WB on Edgemere Blvd in the right lane as Unit 1 was traveling SB on Yarbrough. Unit 2proceeded forward at a green light. Unit 1 ran a red light atthe listed intersection. Unit 2 crashed into Unit l.,3,141,SB,TH,WB,TH,unit 1,right angle
16-143124,10700 Edgemere is a 2 way 4 lane marked roadway with 2 lanes that run East with an additional mandatory left turn lane and 2lanes that run West with an additional mandatory left turn Lane.The East and West lanes are separated by a raised median. Unit1 was traveling West bound on Edgemere in the mandatory leftturning lane to turn onto Yarbrough. Unit 2 was traveling Easton Edgemere in the right lane traveling through the intersectionof Yarbrough. Unit 1 failed to yield the right of way whileturning left and collided into the front of Unit 2. The driverof Unit 1 complained of pain to her arms. The officer observedabrasions and redness to the arms of the driver of Unit 1. Thepassenger of Unit 1 complained of pain to her right ankle.There were no witnesses reported at the scene.,3,142,WB,LT,EB,TH,unit 1,left turn
16-160238,"3400 Yarbrough is a six lane roadway with two lanes for northbound traffic, with a mandatory left turn lane, two lanesfor southbound traffic with a mandatory left turn lane. Unit #2as southbound on Yarbrough in the outside lane when it enteredthe intersection. Unit #1 was northbound on Yarbrough on theinside lane when it entered the mandatory left turn lane andproceeded into the intersection and continued westbound. Unit #1advised he was already exiting the intersection when he observednit #2 speed up and collide with him. Unit #1 added he spokeith the driver of Unit #2, and allegedly he stated he had speedp to beat the red light and by the time he saw unit #1, it wastoo late adding he could not stop in time. Unit #1 stated hadnit #2 was traveling the speed limit, he would of not hit him.nit #2 was southbound on the outside lane when he observed thegreen light turn yellow. Unit #2 stated he then accelerated intothe intersection with the steady yellow. Unit #2 stated he didnot realize he was about to crash until it was too late. Unit #2alleged that had Unit #1 yield the right of way prior to makingis turn; the crash would not have happened. Officer monitoredthe lights as they cycled and noted when the southbound lanesere on a steady yellow, the northbound lane (mandatory left)as also yellow. The officer, therefore, could not determine anat-fault driver as both had conflicting stories as to the reasonfor the crash. Officer did not have an independent witnesspresent to determine an at-fault driver.",3,143,NB,LT,SB,TH,unit 1,left turn
16-200234,"3400 block of Yarbrough Dr. is a five lane, two-way roadway divided by a raised concrete median. Two lanes travel northbound; Two lanes travel south bound; With one mandatory leftturn lane. Unit-2 was traveling south bound on Yarbrough in themandatory left turn lane and at a complete stop as the signallight was solid red. Unit-1 was traveling south bound onarbrough directly behind Unit-2 in the mandatory left turnlane. Unit-1 failed to control it's speed and rear-ended Unit-2causing the listed damage. There were no independent witnesses.The driver of Unit-2 complained of pain to her neck, head,shoulders and hip. The driver of Unit-2 mentioned that she hadapre-existing neck injury. The driver of Unit-1 stated that whilee was traveling directly behind Unit-2, some change had felldown at which time he reached to pick it up. As a result, thedriver of Unit-1 took his attention away from the traffic androadway in front of him.",3,144,SB,TH,SB,TH,unit 1,rear end
16-267192,"The 3400 block of Yarbrough at 10700 Edgemere is a 4 lane, marked (unprotected) roadway; two lanes traveling northbound andtwo lanes traveling southbound. The 3400 block of Yarbrough at10700 Edgemere also contains two mandatory left turn lanes; onelane in the northbound lanes and one lane in the southboundlanes. The driver of Unit 1 stated he was traveling southboundon the 3400 block of Yarbrough approaching Edgemere. The driverof Unit 1 stated he entered the mandatory left turn lane to turnleft and proceed eastbound on the 10700 block of Edgemere. Thedriver of Unit 1 stated he knows he had a green light to proceedowever is not sure if he had a green arrow, a green solid lightor both. The driver of Unit 1 stated he proceeded to turn andtated that is when he collided into Unit 2 who was travelingnorthbound in the left lane on the 3400 block of Yarbrough. Thedriver of Unit 2 stated he was traveling on the 3400 block ofarbrough northbound in the left Llane and observed a solid greenlight to proceed past the intersection of Edgemere. The driverof Unit 2 stated that as he was proceeding past the intersectione observed Unit 1 turning onto the 10700 block of Edgemereeastbound. The driver of Unit 2 stated that is when he collidedinto Unit 1 at the intersection of Yarbrough and Edgemere. Noindependent witnesses or injuries were reported on scene. Thedriver of Unit 1 received a citation for Failure To Yield RightOf Way- Left Turn (Citation #18-970887).",3,145,SB,LT,NB,TH,unit 1,left turn
16-268109,3400 Yarbrough is a six four lane roadway with two lanes traveling north and two lanes traveling south. 10700 Edgemere isa four Lane roadway with two lanes traveling east and two lanestraveling west. At the intersection of Yarbrough and Edgemerethere are mandatory left turn lanes in all directions. Unit #1as traveling south on Yarbrough and attempting to make a leftturn onto Edgemere. Unit #2 was traveling north on Yarbrough.nit #3 was at a red signal on Edgemere facing west and waitingto turn left onto Yarbrough. Unit #1 and Unit #2 had a greensignal however unit #1 did not have a protected green arrow.Driver of unit #1 failed to yield the right of way and crashedinto unit #2. The impact sent unit #2 in Unit #3 directioncausing them to crash. There were no reported injuries oritnesses at the scene.,3,146,SB,LT,NB,TH,unit 1,left turn
16-272097,"10700 Edgemere is a eastbound / westbound 5 lane roadway, 2 estbound lanes / 2 eastbound lanes, that is divided by a twoay left turn lane. The 3400 block of Yarbrough intersects withthe 10700 block of Edgemere and it is a controlled intersectionby traffic control signals. Driver of Unit 2 stated she wastraveling eastbound on Edgemere, crossing Yrabrough at a greensolid light, when Unit 1 struck Unit 2. Driver of Unit 1 statedshe was at a complete stop on the northbound lanes of Yarbrough,and as she proceeded forward, Unit 1 struck Unit 2. No injuriesor witness were reported.",3,147,EB,TH,NB,TH,unit 1,right angle
16-316179,"3100 N Yarbrough is a five lane roadway which runs North and south, divided by a raised center median and intersects with10700 Edgemere that is a five lane roadway that runs East andest. Unit 1 was traveling north on Yarbrough attempting toturn left on Edgemere. Unit 2 was traveling south on Yarbrough.nit 1 in the middle of intersecting roads Yarbrough andFdgemere, failed to yield to oncoming traffic, collided withnit 2. Driver of Unit 2 recived lacerations to her right hand.i1tness: Worsham, Albert 915.383.1131 Bellman, Justin915.525.8528",3,148,NB,LT,SB,TH,unit 1,left turn
16-334131,"10600 EDGEMERE IS A FOUR LANE TWO WAY ROADWAY FOR EAST AND WEST BOUND TRAFFIC DIVIDED BY A CENTER PAINTED MEDIAN. 3300ARBROUGH IS A FOUR LANE TWO WAY ROADWAY FOR NORTH AND SOUTHBOUND TRAFFIC DIVIDED BY A RAISED MEDIAN. UNIT #1 WAS WESTBOUND ON EDGEMERE, WHILE UNIT #2 WAS EAST BOUND ON EDGEMERE.BOTH UNITS HAD A STHADY GREEN LIGHT AT THE INTERSECTION. UNIT#1 ATTEMPTED TO MAKE A LEFT TURN FROM EDGEMERE TO YARBROUGHSOUTH BOUND AND TURNED ON AN UNPROTECTED GREEN ARROW. UNITSIMPACTED AS SHOWN. NO INJURIES WERE REPORTED ON THE SCENE ANDNO INDEPENDANT WITNESSES WERE LOCATED.",3,149,WB,LT,EB,TH,unit 1,left turn
16-335014,"10600 Edgemere is a 2-way, 4-lane divided by a raised median roadway which travels east to west with a left turn only lane.nit-02 was stationary on the far right East bound lanes of the10600 block of Edgemere on a red light. Unit-01 was travelingbehind unit-02 and failed to control the speed colliding intonit-02 back bumper. Unit-01 fled the scene without making anattempt to exchange information. No independent witnesses werelocated",3,150,EB,TH,EB,TH,unit 1,rear end
16-337214,"10600 BLOCK OF EDGEMERE IS A FOUR LANE ROADWAY TRAVELS EAST/WEST BOUND WITH A MANDATORY LEFT TURN LANE. 3300 BLOCK OF YARBROUGHIS A FOUR LANE ROADWAY TRAVELS NORTH/SOUTH BOUND WITH AANDATORY LEFT TURN LANE. UNIT 2 WAS TRAVELING EAST BOUND IN THEINSIDE LANE. UNIT 1 WAS TRAVELING WEST BOUND IN THE MANDATORYLEFT TURN LANE. UNIT 2 DRIVER ADVISED SHE HAD A GREEN LIGHT ANDENTERED THE INTERSECTION. UNIT 2 DRIVER ADVISED UNIT 1 ENTEREDHER LANE AND UNIT 1 STRUCK HER VEHICLE. OFFICER DID NOT SPEAK TOIT 1 DRIVER, AT THE SCENE, SINCE THEY HAD BEEN TRANSPORTED TODEL SOL HOSPITAL. OFFICER MET WITH UNIT 1 DRIVER, AT DEL SOLHOSPITAL, WHO ADVISED HE HAD A GREEN LIGHT, BUT IS NOT SURE IFHE HAD A GREEN ARROW TO TURN LEFT (SOUTH BOUND ON YARBROUGH).IT 1 DRIVER ADVISED HE TURN LEFT AND WAS STRUCK BY UNIT 2. NOTNESS, POSSIBLE INJURIES (LEFT HIP, LEFT ARM, RIGHT KNEE,HEADACHE) TO UNIT 2 DRIVER, UNIT 1 DRIVER INJURIES LEFT WRIST,NECK, JAW (BIT HIS TONGUE) AND UNIT 1 PASSENGER INJURIESABRASION TO FACE, RIGHT HAND, LEFT KNEE, RIGHT EYE, NECK.",3,151,WB,LT,EB,TH,unit 1,left turn
17-125229,"3300 block of Yarbrough is four Lane two way roadway that travels north and south with a mandatory left turn lane whichintersects with the 10600 block of Edgemere which is a four lanetwo way roadway that travels east and west with a mandatory leftturn lane. Unit 1 was traveling north in the mandatory leftturn lane waiting to turn west onto Edgemere. Unit 2 wastraveling south on Yarbrough in the center lane as it wasapproaching the intersection. Unit 3 was at a complete stopaiting at the lights of Edgemere and Yarbough in order tocontinue east on Edgemere. Driver of Unit 1 advised that heentered the intersection on a green arrow and started to make aleft turn onto Edgemere. Driver of unit 2 advised that as he wasapproaching and entering the intersection Unit 1, made a leftturn in front of him causing him not to be able to stop on timeand struck Unit 1 causing the listed damage. Driver of Unit 3advised that as she was waiting for the lights to change toAcontinued east, she observed Unit 1 entrer the intersection infront of unit 2 which collided with Unit 1 and Unit 1 traveledest on Edgemere and struck Unit 3. Passengers to Unit 1 wereNARRATIVEtransported to Del Sol hospital for medical attention by Rescue18 and the driver of Unit 2 was transported to del sol Hospitalfor medical attention.",3,152,NB,LT,SB,TH,unit 1,left turn
17-204098,10600 Edgemere is a 2 way 6 lane roadway with 3 lanes traveling estbound and 3 lanes traveling Hastbound divided by a highraised median. 3400 Yarbrough is a 2 way 6 lane roadway with 3lanes traveling Northbound and 3 lanes traveling Southbounddivided by a high raised median. Driver of Unit #2 was travelingEastbound on Edgemere on the left lane. Driver of Unit #1 wastraveling Westbound on Edgemere on the right lane. Driver ofnit #1 was going to turn a left and did not yield the rightaway to Unit #2 and collided with Unit #2. No injuries noitnesses reported.,3,153,WB,LT,EB,TH,unit 1,left turn
17-266165,"10600 Edgemere is a two-way 5 lane roadway for traffic traveling east and westbound with no means of separation. Unit 2 wastraveling in the middle lane going eastbound. Unit 1 wastraveling westbound on the far left mandatory turning lane. Asthe signal light rotated green for both east and westbound, unit2 proceeded forward through the intersection. Unit 1 alsoproceeded forward attempting to make left turn to go southboundon Yarbrough but failed to yield the right of way to unit 2subsequently colliding into unit 2 causing damages. Driver ofnit 2 was transported to Sierra Providence east medical centerdue to sustaining minor injuries and complaining of neck andback pain. No reported witnesses.",3,154,WB,LT,EB,TH,unit 1,left turn
17-277050,"The 10700 block of Edgemere is a two way roadway divided by painted marked lines . 10700 Edgemere east and westbound havetwo lanes divided by painted marked lines. 10/700 Edgemere at theintersection of 3400 Yarbrough has added mandatory left turnlanes. The 3400 block of Yarbrough is a two way roadway dividedby a protected median. 3400 Yarbrough north and southbound hastwo lanes divided by painted marked lines. 3400 Yarbrough hasadded mandatory left turn only lanes at the intersection of10700 Edgemere.Unit 2 was traveling northbound of 3300 Yarbroughon the number 1 lane. Unit 1 was traveling southbound of 3400arbrough onto the mandatory left turn lane, to make a left turnnto 10700 Edgemere. Unit 2 observed the signal lights to bentersection of 10700 Edgemere and 3400 Yarbrough, Unit 1 failedo yield the right of way to Unit 2 and collided into Unit 2 asnit 1 attempted to make his left turn. There were no reportedinjuries or witness at the scene.",3,155,SB,LT,NB,TH,unit 1,left turn
18-010036,"3400 Yarbrough is a northbound / southbound 6 lane roadway, 3 northbound lanes , 1 mandatory left turn lane / 1 mandatorystraight only lane / 1 optional right turn lane, 3 southboundlanes, 1 mandatory left turn lane (solid green and protectedarrow) / 1 mandatory straight only lane / 1 optional right turnlane, that are divided by a raised median. 3400 Yarbroughintersects with the 10700 block of Edgemere and it is controlledintersection by traffic control signals. Driver of Unit 2 statede was traveling northbound on the right lane crossing Edgemere(solid green) when Unit 1 struck Unit 2. Driver of Unit 1 statedshe was turning left from the southbound mandatory left turnlane, when Unit 1 struck Unit 2. Witness 1 (C. Felder (915) 590-5034). No other witnesses or injuries were reported.",3,156,SB,LT,NB,TH,unit 1,left turn
18-012149,3400 Yarbrough is a four lane roadway with two lanes traveling north and two lanes traveling south separated by a centeredian. At the intersection with Edgemere there is a left turnlane in both directions. Unit #1 was traveling south onarbrough and was in the left turn lane to turn on Edgemere.nit #1 had a green light but no protected arrow. Unit #2 wastraveling north in the left lane on Yarbrough and was goingthrough the intersection of Edgemere. Unit #1 failed to yieldthe right of way and entered the intersection in front of unit#2. There were no reported injuries or witnesses at the scene.,3,157,SB,LT,NB,TH,unit 1,left turn
